October 27, 2018;2.8M;50,000+;2.2;4.0.3 and up;Unique Bangla Apps;
September 19, 2018;4.5M;100,000+;3.1;4.0.3 and up;71 lab;
February 24, 2018;3.8M;50,000+;2.5;4.0.3 and up;Shikder Studio;
May 18, 2018;Varies with device;50,000+;Varies with device;Varies with device;Green App Studio;
February 22, 2017;1.9M;50,000+;1.4;3.0 and up;Panthera Tigris Inc;
June 18, 2017;704k;100+;1.0;2.2 and up;Users Interact;Raihan Ahmed;
September 27, 2018;4.9M;100,000+;9.1;4.0.3 and up;Team Nahid;
September 20, 2018;4.3M;50,000+;3.0;4.0.3 and up;Ayaat Studio;
March 25, 2018;3.8M;50,000+;1.8;4.0.3 and up;GK App Store;
June 7, 2017;2.1M;10,000+;1.0;3.0 and up;Panthera Tigris Inc;
October 22, 2018;4.3M;10,000+;2.0;4.0.3 and up;Ayaat Studio;
September 22, 2018;45M;5,000+;4.1;4.1 and up;LucciyudAPPS;
October 1, 2018;4.4M;1,000+;1.2;4.1 and up;Smart Soft Studio;
May 6, 2018;3.4M;10,000+;1.0;4.0.3 and up;BD71Apps;
September 19, 2018;3.1M;5,000+;2.6;4.1 and up;RT-SoftWorld;
July 17, 2018;3.8M;5,000+;1.0;4.0 and up;Bangla Public Library;
September 29, 2018;2.7M;10,000+;2.0;4.0.3 and up;Important Bangla Apps;
September 27, 2018;3.7M;5,000+;7.1;4.0.3 and up;Maisha Lab;
June 29, 2018;3.3M;5,000+;1.0;4.0 and up;Bangla Public Library;
September 18, 2018;6.8M;10+;1.0;4.1 and up;Digital Purchases;Abdur Rahman Nirob;
February 25, 2018;11M;100+;1.0.0;2.3 and up;Luna Game Studio;
February 24, 2018;3.8M;100,000+;5.7;4.0.3 and up;Shikder Studio;
June 12, 2018;15M;100+;1.8;4.1 and up;Users Interact;27th BCS Forum;
June 28, 2018;3.4M;5,000+;1.0;4.0 and up;Bangla Public Library;
October 18, 2018;5.9M;10+;1.1.1.1;7.0 and up;RANZ Developers Co. Ltd.;
March 8, 2018;3.2M;10,000+;1.2.2;4.0 and up;BdmobilesApps;
June 28, 2018;3.3M;5,000+;1.0;4.0 and up;Bangla Public Library;
October 14, 2018;5.1M;50,000+;1.0.5;4.1 and up;Md. Razon Hossain;
January 21, 2018;3.3M;10,000+;1.0.0;4.1 and up;SBN Apps;
August 24, 2018;Varies with device;5,000+;1.0;4.0.3 and up;mPanacea;
August 18, 2017;9.1M;1,000+;1.0.5;4.1 and up;TRUE HUNTER;
November 5, 2018;5.3M;10,000+;2.0;4.0 and up;Brighter Apps;
July 1, 2018;4.5M;1,000+;1.0;4.0.3 and up;Ayaat Studio;
September 10, 2018;3.4M;1,000+;1.0;4.0.3 and up;Digital Purchases;SKR Soft;
August 11, 2018;3.1M;10,000+;1.2.6;4.1 and up;It-Jogot;
September 20, 2018;3.3M;1,000+;1.0;4.0 and up;Bangla Public Library;
